{hash: 4ee79fc, author: Adam, date: 2024-06-05 15:00:35 +0400, message: Merge branch 'dev' into refactor-to-FastAPI},
{hash: 47ec0e5, author: Adam, date: 2024-06-05 14:59:52 +0400, message: Update README.md},
{hash: f6a88d1, author: Adam, date: 2024-06-05 14:59:42 +0400, message: Update README.md},
{hash: e259896, author: Adam, date: 2024-06-05 14:58:59 +0400, message: Merge pull request #96 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 84b2a8b, author: Adam, date: 2024-06-05 14:58:33 +0400, message: Update __init__.py},
{hash: 8c8fea4, author: Adam, date: 2024-06-04 23:55:29 +0400, message: Merge pull request #93 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: f7f8167, author: Adam, date: 2024-06-04 23:38:13 +0400, message: Merge pull request #92 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 9088912, author: Adam, date: 2024-06-04 23:31:42 +0400, message: Merge pull request #91 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 5986752, author: Adam, date: 2024-06-04 23:30:40 +0400, message: Create README.md},
{hash: 69fe623, author: Adam, date: 2024-06-04 23:10:35 +0400, message: Merge pull request #90 from FortyGuard-Tech/refactor-to-FastAPI},
{hash: 09701a8, author: Adam, date: 2024-06-04 19:12:25 +0400, message: Removing all the old files},
{hash: 2e6d0d3, author: Adam, date: 2024-06-04 19:09:40 +0400, message: Merge pull request #89 from FortyGuard-Tech/endpoints/update},
{hash: 791999e, author: Adam, date: 2024-06-04 19:09:26 +0400, message: Merge branch 'refactor-to-FastAPI' into endpoints/update},
{hash: 0ffb63d, author: Adam, date: 2024-06-04 19:06:41 +0400, message: Updated the get state endpoint},
{hash: e332a6c, author: Adam, date: 2024-06-04 13:44:44 +0400, message: Add FIREBASE_BUCKET_NAME to environment variables},
{hash: 6af58fa, author: Adam, date: 2024-06-04 13:43:51 +0400, message: Merge branch 'refactor-to-FastAPI' into endpoints/update},
{hash: a0f5841, author: Adam, date: 2024-06-04 13:42:57 +0400, message: Add geopandas to requirements.txt},
{hash: 9f4ed57, author: Adam, date: 2024-06-04 13:42:44 +0400, message: Added `subscribed-states` endpoint - needs testing},
{hash: bf83975, author: Adam, date: 2024-06-04 13:42:09 +0400, message: Initialize Firebase storage client in Connectors class},
{hash: ea48e22, author: Adam, date: 2024-06-02 21:36:25 +0400, message: Update JSONResponse to Response},
{hash: 508b7d5, author: Adam, date: 2024-06-02 19:54:29 +0400, message: Updated `get-activity-list` endpoint - It now fetches the list of activities from account and then pull the information},
{hash: ba413d4, author: Adam, date: 2024-06-02 19:04:08 +0400, message: Add validation to check if the account_id exists before submitting feedback},
{hash: 7cc25e7, author: Adam, date: 2024-06-02 19:01:42 +0400, message: Added `update-subscription` endpoint},
{hash: bec5348, author: Adam, date: 2024-06-02 18:53:54 +0400, message: Update Response to have error},
{hash: 5ec88a3, author: Adam, date: 2024-06-02 16:55:01 +0400, message: Merge pull request #88 from FortyGuard-Tech/activity-endpoints},
{hash: 7268186, author: Adam, date: 2024-06-02 16:50:42 +0400, message: TODO: Add validation to check if the account_id exists before submitting feedback},
{hash: c12d57c, author: Adam, date: 2024-06-02 16:50:04 +0400, message: Added `submit-feedback` endpoint},
{hash: e0b4ddb, author: Adam, date: 2024-06-02 15:17:15 +0400, message: Added `get-activity-list` endpoint},
{hash: 285275c, author: Adam, date: 2024-06-02 14:50:51 +0400, message: Added `rename-activity` endpoint},
{hash: 9bde5f0, author: Adam, date: 2024-06-02 01:35:10 +0400, message: Changed how the request is being sent - Creat Map},
{hash: 489984a, author: Adam, date: 2024-06-02 01:34:39 +0400, message: Added comments},
{hash: f03e506, author: Adam, date: 2024-06-02 01:33:57 +0400, message: Adding Location name to the firebase and heatmap name},
{hash: 9090933, author: Adam, date: 2024-06-02 01:33:18 +0400, message: Calculate the area of the polygon and how much credits it will consume},
{hash: 38c5094, author: Adam, date: 2024-06-01 23:09:40 +0400, message: Updated logging information},
{hash: aa677d8, author: Adam, date: 2024-06-01 23:06:40 +0400, message: chore: Remove unnecessary logging statements in Mapping class},
{hash: 717e70f, author: Adam, date: 2024-06-01 23:04:01 +0400, message: Merge branch 'refacctor-analytics' of https://github.com/FortyGuard-Tech/FortyGuardAPI into refacctor-analytics},
{hash: 0b6a8d6, author: Adam, date: 2024-06-01 23:03:27 +0400, message: Refactored Logic of Creat Map Endpoint - `background_map_status_runner` function added that runs in the background},
{hash: 5b4a64b, author: Adam, date: 2024-06-01 23:02:38 +0400, message: Updated `CreditsManager`},
{hash: 2ee74f3, author: Adam, date: 2024-06-01 14:51:21 +0400, message: run function as a background task},
{hash: 97391b5, author: Adam, date: 2024-06-01 14:51:00 +0400, message: Add updated information to firebase - mapping},
{hash: 3aaff76, author: Adam, date: 2024-06-01 01:19:32 +0400, message: Added create_activity_group function},
{hash: f7765d1, author: Adam, date: 2024-06-01 01:18:27 +0400, message: Refactor `Analytics` class to use connectors for Firebase operations},
{hash: 6666ea4, author: Adam, date: 2024-05-31 15:19:16 +0400, message: Refactor CreditsManager to update task state on firebase during in-progress monitoring},
{hash: 7ea2dcb, author: Adam, date: 2024-05-31 14:39:59 +0400, message: Refactor Mapping class to use response.body.get('available_credits') instead of response.get('available_credits')},
{hash: f1821c1, author: Adam, date: 2024-05-31 12:02:48 +0400, message: Changed `get_credits` method in CreditsManager to use original account id passed},
{hash: ad53cbe, author: Adam, date: 2024-05-31 12:02:21 +0400, message: Changed CreditsManager to use consistent header naming convention},
{hash: cd6d019, author: Adam, date: 2024-05-31 12:02:01 +0400, message: Added Subscription ID to the monitor and deduct function},
